"","Scheduled","Open","Best.Odds","X..of.Bets","X..of.Money","Diff","Bets"
"1","Sun 1/30, 1:30 AM 511NetsBKN512WarriorsGSW","+6.5-6.5","+8.5-110-8-105","Right Arrow39%Right Arrow61%","Right Arrow16%Right Arrow84%","+23%","16,165"
"2","Sun 1/30, 12:00 AM 501CelticsBOS502PelicansNOP","-4.5+4.5","-5.5-110+6-110","Right Arrow73%Right Arrow27%","","",""
"3","Sun 1/30, 12:00 AM 503PacersIND504MavericksDAL","+9-9","+11-110-10.5-110","Right Arrow37%Right Arrow63%","","",""
"4","Sun 1/30, 12:30 AM 505KingsSAC50676ersPHI","+10.5-10.5","+10.5-110-10-110","Right Arrow16%Right Arrow84%","","",""
"5","Sun 1/30, 1:00 AM 507WizardsWAS508GrizzliesMEM","+5.5-5.5","+6-112-5.5-105","Right Arrow25%Right Arrow75%","","",""
"6","Sun 1/30, 1:00 AM 509RaptorsTOR510HeatMIA","+6-6","+5.5-110-3.5-105","Right Arrow29%Right Arrow71%","","",""
